libro,id,título,campo,antes,después,motivo
himnario,himno-053,¡Oh amor de Dios!,compas,8/4,3/4,Verificado por el usuario: es 3/4 (decía 8/4)
himnario,himno-010,Alaba al Dios de Abraham,referencia_biblica,"Éxodo 3:14, 15","Éxodo 3:14, 15; Juan 3:16; Romanos 8:38-39",Unificación de citas con los equivalentes de otros libros
himnario,himno-023,¡Silencio! ¡Silencio!,referencia_biblica,Salmos 46:10,Salmos 46:10; Habacuc 2:20,Unificación de citas con los equivalentes de otros libros
himnario,himno-030,Abre mis ojos,referencia_biblica,Salmos 119:18,Salmos 119:18; Efesios 1:18,Unificación de citas con los equivalentes de otros libros
himnario,himno-040,Shalom,referencia_biblica,Números 6:24-26,Números 6:24-26; Juan 20:21,Unificación de citas con los equivalentes de otros libros
himnario,himno-052,"Señor Jesús, el día ya se fue",referencia_biblica,Lucas 24:29,Lucas 24:29; Efesios 2:8-9; 1 Juan 1:9,Unificación de citas con los equivalentes de otros libros
himnario,himno-053,¡Oh amor de Dios!,referencia_biblica,1 Juan 4:8,1 Juan 4:8; Efesios 3:18-19,Unificación de citas con los equivalentes de otros libros
himnario,himno-061,"Santo, Santo, Santo, Dios Omnipotente",referencia_biblica,Isaías 6:3,Isaías 6:3; Apocalipsis 4:8,Unificación de citas con los equivalentes de otros libros
himnario,himno-062,"Santo, Santo, Santo, Santo es el Señor",referencia_biblica,"Apocalipsis 4:8, 11","Apocalipsis 4:8, 11; Mateo 28:19",Unificación de citas con los equivalentes de otros libros
himnario,himno-84,"Ve, dilo en las montañas",referencia_biblica,Lucas 2:15-20,Lucas 2:15-20; Lucas 2:1-20; Mateo 1:18-23,Unificación de citas con los equivalentes de otros libros
himnario,himno-87,"Venid, fieles todos",referencia_biblica,Mateo 2:11,Mateo 2:11; Lucas 2:1-20; Mateo 1:18-23,Unificación de citas con los equivalentes de otros libros
himnario,himno-88,"Oh, aldehuela de Belén",referencia_biblica,"Lucas 2:13, 14","Lucas 2:13, 14; Lucas 2:1-20; Mateo 1:18-23",Unificación de citas con los equivalentes de otros libros
himnario,himno-90,Somos del oriente,referencia_biblica,"Mateo 2:1, 2, 11","Mateo 2:1, 2, 11; Lucas 2:1-20; Mateo 1:18-23",Unificación de citas con los equivalentes de otros libros
himnario,himno-92,Angeles cantando están,referencia_biblica,Lucas 2:13-17,Lucas 2:13-17; Lucas 2:1-20; Mateo 1:18-23,Unificación de citas con los equivalentes de otros libros
himnario,himno-105,Cristo ha resucitado,referencia_biblica,Hechos 2:24,Hechos 2:24; 1 Corintios 15:3-4; Mateo 28:5-7,Unificación de citas con los equivalentes de otros libros
himnario,himno-114,Dime la antigua historia,referencia_biblica,1 Timoteo 1:15,1 Timoteo 1:15; Lucas 2:1-20; Mateo 1:18-23,Unificación de citas con los equivalentes de otros libros
himnario,himno-119,"De su trono, mi Jesús",referencia_biblica,Efesios 5:2,Efesios 5:2; Juan 3:16; San Mateo 19:14; San Marcos 10:14; San Juan 15:15,Unificación de citas con los equivalentes de otros libros
himnario,himno-126,Abrigadas y salvas en el redil,referencia_biblica,Lucas 15:4-6,Lucas 15:4-6; Lucas 15:3-7,Unificación de citas con los equivalentes de otros libros
himnario,himno-128,"¡Tu nombre es dulce, buen Jesús!",referencia_biblica,Mateo 1:23,Mateo 1:23; Efesios 2:8-9; 1 Juan 1:9,Unificación de citas con los equivalentes de otros libros
himnario,himno-156,A Cristo coronad,referencia_biblica,Apocalipsis 19:12,Apocalipsis 19:12; Juan 14:1-3; 1 Tesalonicenses 4:16-17,Unificación de citas con los equivalentes de otros libros
himnario,himno-157,¡Majestad!,referencia_biblica,Judas 1:25,Judas 1:25; Efesios 1:20-23; Apocalipsis 5:12,Unificación de citas con los equivalentes de otros libros
himnario,himno-162,En presencia estar de Cristo,referencia_biblica,Apocalipsis 22:4,Apocalipsis 22:4; Juan 14:1-3; 1 Tesalonicenses 4:16-17,Unificación de citas con los equivalentes de otros libros
himnario,himno-213,"Tierno y amante, Jesús nos invita",referencia_biblica,Mateo 11:28,Mateo 11:28; Isaías 53:4-6; Efesios 2:8-9,Unificación de citas con los equivalentes de otros libros
himnario,himno-248,Que mi vida entera esté,referencia_biblica,Filipenses 1:21,Filipenses 1:21; Juan 3:16; Efesios 2:8-9,Unificación de citas con los equivalentes de otros libros
himnario,himno-249,Tal como soy,referencia_biblica,Lucas 18:13,Lucas 18:13; Juan 6:37,Unificación de citas con los equivalentes de otros libros
himnario,himno-297,Salvado con sangre por Cristo,referencia_biblica,Lamentaciones 3:58,Lamentaciones 3:58; Efesios 2:8-9; 1 Juan 1:9,Unificación de citas con los equivalentes de otros libros
himnario,himno-302,Grato es contar la historia,referencia_biblica,Salmos 66:16,Salmos 66:16; Hebreos 11:1; Romanos 5:1-5,Unificación de citas con los equivalentes de otros libros
himnario,himno-303,Sublime gracia,referencia_biblica,"1 Crónicas 17:16, 17","1 Crónicas 17:16, 17; Efesios 2:8-9",Unificación de citas con los equivalentes de otros libros
himnario,himno-307,Roca de la eternidad,referencia_biblica,Salmos 18:2,Salmos 18:2; 1 Corintios 10:4,Unificación de citas con los equivalentes de otros libros
himnario,himno-328,¿Nos veremos junto al río?,referencia_biblica,Apocalipsis 22:1,Apocalipsis 22:1; Apocalipsis 21:1-4; Filipenses 3:20-21,Unificación de citas con los equivalentes de otros libros
himnario,himno-333,Aunque en esta vida,referencia_biblica,1 Corintios 2:9,1 Corintios 2:9; Hebreos 11:1; Romanos 5:1-5,Unificación de citas con los equivalentes de otros libros
himnario,himno-339,A veces oigo un himno,referencia_biblica,"Apocalipsis 15:2, 3","Apocalipsis 15:2, 3; Génesis 1:1-31; Salmos 19:1-7",Unificación de citas con los equivalentes de otros libros
himnario,himno-351,Yo tengo gozo,referencia_biblica,Romanos 15:13,"Romanos 15:13; Filipenses 4:4, 7; Juan 3:16; Gálatas 5:22",Unificación de citas con los equivalentes de otros libros
himnario,himno-376,Dulce oración,referencia_biblica,Efesios 6:18,Efesios 6:18; Filipenses 4:6-7; Mateo 7:7-8; 1 Tesalonicenses 5:17,Unificación de citas con los equivalentes de otros libros
himnario,himno-378,"¡Oh, qué amigo nos es Cristo!",referencia_biblica,Filipenses 4:6,Filipenses 4:6; Juan 15:13-15,Unificación de citas con los equivalentes de otros libros
himnario,himno-382,A solas al huerto yo voy,referencia_biblica,Marcos 1:35,Marcos 1:35; Mateo 26:36-46,Unificación de citas con los equivalentes de otros libros
himnario,himno-390,"Soy yo, Señor",referencia_biblica,Lucas 18:1,Lucas 18:1; Lucas 18:13; 1 Pedro 5:6,Unificación de citas con los equivalentes de otros libros
himnario,himno-432,Como el ciervo,referencia_biblica,Salmos 42:1,Salmos 42:1; Salmos 42:1-5,Unificación de citas con los equivalentes de otros libros
himnario,himno-446,"Más cerca, oh Dios, de ti",referencia_biblica,Génesis 28:13-16,Génesis 28:13-16; Génesis 28:10-22,Unificación de citas con los equivalentes de otros libros
himnario,himno-479,"De la mano, Señor",referencia_biblica,Isaías 41:13,Isaías 41:13; Hebreos 11:1; Romanos 5:1-5,Unificación de citas con los equivalentes de otros libros
