libro,id,título,campo,antes,después,motivo
himnario,himno-378,"¡Oh, qué amigo nos es Cristo!",autor,John M. Scriven,Joseph M. Scriven,"Autor corregido (el himnario impreso dice ""John M. Scriven""; verificado: Joseph Medlicott Scriven)"
himnario,himno-378,"¡Oh, qué amigo nos es Cristo!",es.nota,,"El himnario impreso 2009 atribuye este himno a «John M. Scriven»; se corrigió a Joseph M. Scriven (Joseph Medlicott Scriven, 1819-1886), autor según hymnary.org y Wikipedia.",Nota aclaratoria de la corrección
himnario,himno-84,"Ve, dilo en las montañas",autor,Negro Spiritual,Spiritual,"""Negro Spiritual""/""Tradizionale Spiritual"" → ""Spiritual"""
himnario,himno-84,"Ve, dilo en las montañas",compositor,Negro Spiritual,Spiritual,"""Negro Spiritual""/""Tradizionale Spiritual"" → ""Spiritual"""
himnario,himno-390,"Soy yo, Señor",compositor,Negro Spiritual,Spiritual,"""Negro Spiritual""/""Tradizionale Spiritual"" → ""Spiritual"""
himnario,himno-461,A tu lado anhelo estar,compositor,Negro Spiritual,Spiritual,"""Negro Spiritual""/""Tradizionale Spiritual"" → ""Spiritual"""
himnario,himno-462,Dame a Cristo,autor,Negro Spiritual,Spiritual,"""Negro Spiritual""/""Tradizionale Spiritual"" → ""Spiritual"""
himnario,himno-462,Dame a Cristo,compositor,Negro Spiritual,Spiritual,"""Negro Spiritual""/""Tradizionale Spiritual"" → ""Spiritual"""
himnario,himno-465,Ven junto a mí,autor,Negro Spiritual,Spiritual,"""Negro Spiritual""/""Tradizionale Spiritual"" → ""Spiritual"""
himnario,himno-465,Ven junto a mí,compositor,Negro Spiritual,Spiritual,"""Negro Spiritual""/""Tradizionale Spiritual"" → ""Spiritual"""
himnario,himno-585,De rodillas partimos hoy el pan,autor,Negro Spiritual,Spiritual,"""Negro Spiritual""/""Tradizionale Spiritual"" → ""Spiritual"""
himnario_1962,himno_62-349,"¡Oh, qué amigo nos es Cristo!",autor,John M. Scriven,Joseph M. Scriven,Mismo autor corregido que en 2009 #378
melodias_de_victoria,himno_mv-006,Todo a Dios en Oración,autor,Morn,Joseph M. Scriven,"Autor original; ""Morn"" era el apellido del traductor mal escrito"
melodias_de_victoria,himno_mv-006,Todo a Dios en Oración,es.traductor,,Leandro Garza Mora,"""Morn"" = Mora (traductor Leandro Garza Mora, PDF 2009 #378)"
melodias_de_victoria,himno_mv-003,Dadme la Biblia,autor,Edmund Simon Lorenz,Priscilla J. Owens,Autora de la letra (Lorenz es el compositor)
melodias_de_victoria,himno_mv-003,Dadme la Biblia,compositor,E. S. Lorenz,Edmund S. Lorenz,"Nombre en su forma original, igual que en 2009"
melodias_de_victoria,himno_mv-046,Jesús Y Yo,autor,Sra. L. de Shorey,Mary Ann L. Shorey,"Nombre original (decía ""Sra. L. de Shorey"")"
melodias_de_victoria,himno_mv-019,Cordero de Dios,compositor,Guillermo B. Bradbury,William B. Bradbury,"Nombre original (decía ""Guillermo B. Bradbury"")"
melodias_de_victoria,himno_mv-004,Sagrado es el Amor,compositor,Juan G. Nageli,Hans Georg Nägeli,"Nombre original (decía ""Juan G. Nageli"")"
melodias_de_victoria,himno_mv-007,"Oh, Amor de Dios",autor,F. M. L.,Frederick M. Lehman,"Mismo nombre escrito distinto (""F. M. L."") → forma más completa ""Frederick M. Lehman"""
melodias_de_victoria,himno_mv-007,"Oh, Amor de Dios",compositor,F. M. Lehman,Frederick M. Lehman,"Mismo nombre escrito distinto (""F. M. Lehman"") → forma más completa ""Frederick M. Lehman"""
melodias_de_victoria,himno_mv-064,La Cruz de Jesús,compositor,Rev. Geo. Bennard,George Bennard,"Mismo nombre escrito distinto (""Rev. Geo. Bennard"") → forma más completa ""George Bennard"""
melodias_de_victoria,himno_mv-049,Ningún Otro me Amó Cual Cristo,autor,C. F. W.,Charles Frederick Weigle,"Mismo nombre escrito distinto (""C. F. W."") → forma más completa ""Charles Frederick Weigle"""
melodias_de_victoria,himno_mv-049,Ningún Otro me Amó Cual Cristo,compositor,C. F. Weigle,Charles Frederick Weigle,"Mismo nombre escrito distinto (""C. F. Weigle"") → forma más completa ""Charles Frederick Weigle"""
melodias_de_victoria,himno_mv-032,De Jesús el Nombre Guarda,compositor,W. H. Doane,William Howard Doane,"Mismo nombre escrito distinto (""W. H. Doane"") → forma más completa ""William Howard Doane"""
melodias_de_victoria,himno_mv-029,¡Cúmplase Tu Voluntad!,autor,A. A. P.,Adelaide A. Pollard,"Mismo nombre escrito distinto (""A. A. P."") → forma más completa ""Adelaide A. Pollard"""
melodias_de_victoria,himno_mv-029,¡Cúmplase Tu Voluntad!,compositor,Geo. C. Stebbins,George C. Stebbins,"Mismo nombre escrito distinto (""Geo. C. Stebbins"") → forma más completa ""George C. Stebbins"""
melodias_de_victoria,himno_mv-025,Quiero Ser Cual Cristo,compositor,B. D. Ackley,Bentley D. Ackley,"Mismo nombre escrito distinto (""B. D. Ackley"") → forma más completa ""Bentley D. Ackley"""
melodias_de_victoria,himno_mv-039,Todo Debo a Él,compositor,Juan T. Grape,John T. Grape,"Mismo nombre escrito distinto (""Juan T. Grape"") → forma más completa ""John T. Grape"""
melodias_de_victoria,himno_mv-059,Llegó Jesús,compositor,Homer Rodeheaver,Homer A. Rodeheaver,"Mismo nombre escrito distinto (""Homer Rodeheaver"") → forma más completa ""Homer A. Rodeheaver"""
melodias_de_victoria,himno_mv-035,Roca de la Eternidad,compositor,Tomás Hastings,Thomas Hastings,"Mismo nombre escrito distinto (""Tomás Hastings"") → forma más completa ""Thomas Hastings"""
melodias_de_victoria,himno_mv-033,Nombre Sin Igual,autor,L. B. B.,Luther B. Bridgers,"Mismo nombre escrito distinto (""L. B. B."") → forma más completa ""Luther B. Bridgers"""
melodias_de_victoria,himno_mv-033,Nombre Sin Igual,compositor,L. B. Bridgers,Luther B. Bridgers,"Mismo nombre escrito distinto (""L. B. Bridgers"") → forma más completa ""Luther B. Bridgers"""
melodias_de_victoria,himno_mv-006,Todo a Dios en Oración,compositor,C. C. Converse,Charles C. Converse,"Mismo nombre escrito distinto (""C. C. Converse"") → forma más completa ""Charles C. Converse"""
melodias_de_victoria,himno_mv-021,"Padre, yo Vengo a Ti",autor,F. E. Belden,Franklin E. Belden,"Mismo nombre escrito distinto (""F. E. Belden"") → forma más completa ""Franklin E. Belden"""
melodias_de_victoria,himno_mv-037,Cariñoso Salvador,compositor,S. B. Marsh,Simeon B. Marsh,"Mismo nombre escrito distinto (""S. B. Marsh"") → forma más completa ""Simeon B. Marsh"""
melodias_de_victoria,himno_mv-020,Pertenezco a mi Rey,compositor,M. A. Clifton,Maurice A. Clifton,"Mismo nombre escrito distinto (""M. A. Clifton"") → forma más completa ""Maurice A. Clifton"""
melodias_de_victoria,himno_mv-028,El Cuidará de Mí,compositor,Chas. H. Gabriel,Charles H. Gabriel,"Mismo nombre escrito distinto (""Chas. H. Gabriel"") → forma más completa ""Charles H. Gabriel"""
