grupo,confianza del vínculo,campo,libro A,id A,título A,valor A,libro B,id B,título B,valor B,qué pasa,propuesta,aviso,TU DECISIÓN (A / B / ambos / dejar)
eq-0236,media,autor,Himnario 1962,himno_62-458,Yo tengo gozo,Anónimo,Cancionero MV,yo_tengo_gozo,Yo tengo gozo,George Willis Cooke,personas distintas,revisar,,
eq-0419,media,autor,Himnario 2009,himno-054,Tan bueno es Dios,Anónimo,Cancionero MV,dios_bueno_es,Dios bueno es,Paul Makai,personas distintas,revisar,posible vínculo equivocado (difieren autor/compositor/año),
eq-0413,alta,autor,Himnario 2009,himno-203,Santo Espíritu llena mi vida,Anónimo,Cancionero MV,santo_espiritu,Santo Espíritu,A. Sevison,personas distintas,revisar,,
eq-0415,media,autor,Himnario 2009,himno-281,He decidido seguir a Cristo,Anónimo,Cancionero MV,he_decidido_seguir_a_cristo,He decidido seguir a Cristo,Sadhu Sundar Singh,personas distintas,revisar,posible vínculo equivocado (difieren autor/compositor/año),
eq-0417,media,autor,Himnario 2009,himno-331,La mañana gloriosa,Anónimo,Cancionero MV,la_manana_gloriosa,Cuán gloriosa será la mañana,Felicia Beltrán; Mariano Beltrán,personas distintas,revisar,posible vínculo equivocado (difieren autor/compositor/año),
eq-0236,media,autor,Himnario 2009,himno-351,Yo tengo gozo,Anónimo,Cancionero MV,yo_tengo_gozo,Yo tengo gozo,George Willis Cooke,personas distintas,revisar,,
eq-0254,alta,autor,Himnario 2009,himno-390,"Soy yo, Señor",Anónimo,Innario Avventista,inno-539,"Son io, Signor",Spiritual,personas distintas,revisar,,
eq-0318,alta,autor,Himnario 2009,himno-485,Unidos en verdad,Jeff Wood,Innario Avventista,inno-536,Side by side,Jeff Hamlin,personas distintas,revisar,,
eq-0038,alta,compas,Himnario 1962,himno_62-063,Mi Dios me Ama,3/4,Melodías de Victoria,himno_mv-001,Mi Dios me Ama,3/8,edición distinta (no se unifica),dejar cada uno como está,,
eq-0207,media,compas,Himnario 1962,himno_62-236,Roca de la eternidad,3/4,Melodías de Victoria,himno_mv-035,Roca de la Eternidad,3/2,edición distinta (no se unifica),dejar cada uno como está,,
eq-0157,media,compas,Himnario 1962,himno_62-260,"Cúmplase, oh Cristo, tu voluntad",9/8,Melodías de Victoria,himno_mv-029,¡Cúmplase Tu Voluntad!,9/4,edición distinta (no se unifica),dejar cada uno como está,,
eq-0296,alta,compas,Himnario 1962,himno_62-408,"Más cerca, oh Dios, de ti",4/4,Melodías de Victoria,himno_mv-002,"Más Cerca, Oh Dios, de Ti",6/4,edición distinta (no se unifica),dejar cada uno como está,,
eq-0283,alta,compas,Himnario 1962,himno_62-420,Cariñoso Salvador,6/8,Melodías de Victoria,himno_mv-037,Cariñoso Salvador,6/4,edición distinta (no se unifica),dejar cada uno como está,,
eq-0038,alta,compas,Himnario 2009,himno-057,Mi Dios me ama,3/4,Melodías de Victoria,himno_mv-001,Mi Dios me Ama,3/8,edición distinta (no se unifica),dejar cada uno como está,,
eq-0414,alta,compas,Himnario 2009,himno-059,Mirad qué amor,6/8,Cancionero MV,mirad_cual_amor,Mirad cual amor,4/4,edición distinta (no se unifica),dejar cada uno como está,,
eq-0412,alta,compas,Himnario 2009,himno-151,Por eso lo amo,2/4,Cancionero MV,por_eso_le_amo,Por eso le amo,4/4,edición distinta (no se unifica),dejar cada uno como está,,
eq-0157,media,compas,Himnario 2009,himno-245,"Cúmplase, oh Cristo, tu voluntad",9/8,Melodías de Victoria,himno_mv-029,¡Cúmplase Tu Voluntad!,9/4,edición distinta (no se unifica),dejar cada uno como está,,
eq-0415,media,compas,Himnario 2009,himno-281,He decidido seguir a Cristo,2/2,Cancionero MV,he_decidido_seguir_a_cristo,He decidido seguir a Cristo,4/4,edición distinta (no se unifica),dejar cada uno como está,posible vínculo equivocado (difieren autor/compositor/año),
eq-0207,media,compas,Himnario 2009,himno-307,Roca de la eternidad,3/4,Melodías de Victoria,himno_mv-035,Roca de la Eternidad,3/2,edición distinta (no se unifica),dejar cada uno como está,,
eq-0420,media,compas,Himnario 2009,himno-308,Dios descendió,6/8,Cancionero MV,dia_tan_grande,Día tan grande,4/4,edición distinta (no se unifica),dejar cada uno como está,,
eq-0283,alta,compas,Himnario 2009,himno-421,Cariñoso Salvador,6/8,Melodías de Victoria,himno_mv-037,Cariñoso Salvador,6/4,edición distinta (no se unifica),dejar cada uno como está,,
eq-0296,alta,compas,Himnario 2009,himno-446,"Más cerca, oh Dios, de ti",4/4,Melodías de Victoria,himno_mv-002,"Más Cerca, Oh Dios, de Ti",6/4,edición distinta (no se unifica),dejar cada uno como está,,
eq-0419,media,compositor,Himnario 2009,himno-054,Tan bueno es Dios,Anónimo,Cancionero MV,dios_bueno_es,Dios bueno es,Paul Makai,personas distintas,revisar,posible vínculo equivocado (difieren autor/compositor/año),
eq-0413,alta,compositor,Himnario 2009,himno-203,Santo Espíritu llena mi vida,Anónimo,Cancionero MV,santo_espiritu,Santo Espíritu,A. Sevison,personas distintas,revisar,,
eq-0415,media,compositor,Himnario 2009,himno-281,He decidido seguir a Cristo,Melodía tradicional india,Cancionero MV,he_decidido_seguir_a_cristo,He decidido seguir a Cristo,Sadhu Sundar Singh,personas distintas,revisar,posible vínculo equivocado (difieren autor/compositor/año),
eq-0417,media,compositor,Himnario 2009,himno-331,La mañana gloriosa,Anónimo,Cancionero MV,la_manana_gloriosa,Cuán gloriosa será la mañana,Robert C. Savage,personas distintas,revisar,posible vínculo equivocado (difieren autor/compositor/año),
eq-0303,alta,compositor,Himnario 2009,himno-453,Cómo ser cual Cristo,Harold A. Miller,Melodías de Victoria,himno_mv-052,Para Ser Cual Cristo,E. A. Miller,personas distintas,revisar,,
eq-0318,alta,compositor,Himnario 2009,himno-485,Unidos en verdad,Jeff Wood,Innario Avventista,inno-536,Side by side,Jeff Hamlin,personas distintas,revisar,,
eq-0196,baja,referencia_biblica,Himnario 1962,himno_62-294,Comprado con sangre por Cristo,"1 Pedro 1:18, 19",Innario Avventista,inno-275,Redento son io dal Signore,Efesini 2:8-9; 1 Giovanni 1:9,citas distintas (otra selección de versículos),conservar ambas,,
eq-0196,baja,referencia_biblica,Himnario 2009,himno-296,Comprado con sangre por Cristo,"1 Pedro 1:18, 19",Innario Avventista,inno-275,Redento son io dal Signore,Efesini 2:8-9; 1 Giovanni 1:9,citas distintas (otra selección de versículos),conservar ambas,,
eq-0236,media,ritmo,Himnario 1962,himno_62-458,Yo tengo gozo,Himno,Cancionero MV,yo_tengo_gozo,Yo tengo gozo,Alegre,ritmo distinto,revisar,,
eq-0079,media,ritmo,Himnario 1962,himno_62-514,"De su trono, mi Jesús",Himno,Cancionero MV,cristo_me_ama,Cristo me ama,Alabanza; Worship; Suave,ritmo distinto,revisar,,
eq-0428,media,ritmo,Himnario 1962,himno_62-514,"De su trono, mi Jesús",Himno,Cancionero MV,cristo_me_ama_infantil,Cristo me ama (infantil),Alabanza; Infantil; We will rock you,ritmo distinto,revisar,,
eq-0079,media,ritmo,Himnario 2009,himno-119,"De su trono, mi Jesús",Himno,Cancionero MV,cristo_me_ama,Cristo me ama,Alabanza; Worship; Suave,ritmo distinto,revisar,,
eq-0428,media,ritmo,Himnario 2009,himno-119,"De su trono, mi Jesús",Himno,Cancionero MV,cristo_me_ama_infantil,Cristo me ama (infantil),Alabanza; Infantil; We will rock you,ritmo distinto,revisar,,
eq-0412,alta,ritmo,Himnario 2009,himno-151,Por eso lo amo,Himno,Cancionero MV,por_eso_le_amo,Por eso le amo,Balada,ritmo distinto,revisar,,
eq-0413,alta,ritmo,Himnario 2009,himno-203,Santo Espíritu llena mi vida,Himno,Cancionero MV,santo_espiritu,Santo Espíritu,Alegre,ritmo distinto,revisar,,
eq-0421,media,ritmo,Himnario 2009,himno-236,A Jesús entrega todo,Balada,Cancionero MV,a_jesus_dale_todo,A Jesús dale todo,Adoración,ritmo distinto,revisar,,
eq-0418,media,ritmo,Himnario 2009,himno-282,"¡Brilla, Jesús!",Cántico Contemporáneo,Cancionero MV,brilla_Jesús,"Brilla, Jesús",Himno,ritmo distinto,revisar,,
eq-0236,media,ritmo,Himnario 2009,himno-351,Yo tengo gozo,Himno,Cancionero MV,yo_tengo_gozo,Yo tengo gozo,Alegre,ritmo distinto,revisar,,
eq-0406,alta,ritmo,Himnario 2009,himno-371,Jesús te ama,Himno,Cancionero MV,Jesús_te_ama,Jesús te ama,4/4,ritmo distinto,revisar,,
eq-0421,media,tempo_bpm,Himnario 2009,himno-236,A Jesús entrega todo,76,Cancionero MV,a_jesus_dale_todo,A Jesús dale todo,80,edición distinta (no se unifica),dejar cada uno como está,,
